X,Y,fid,X,Y,Nev,icon_url,MELY_Injektálási mélység [m],MELY_Injektálás tervezett dátuma
19.073154407205,47.6420864953865,"156","651932","255360",DP156,./1.png,12.2,2022/12/09
19.0732076426067,47.6420864840622,"157","651936","255360",DP157,./1.png,12.2,2022/12/10
19.0725692262753,47.6429860583625,"158","651888","255460",DP158,./1.png,12,2022/12/10
19.0726224789599,47.6430220249031,"159","651892","255464",DP159,./1.png,12,2022/12/10
19.072675731717,47.6430579914189,"160","651896","255468",DP160,./1.png,12.5,2022/12/10
19.0726757973669,47.6432019017951,"161","651896","255484",DP161,./1.png,12,2022/12/10
19.0725692589551,47.6430580135532,"162","651888","255468",DP162,./1.png,12.5,2022/12/10
19.0726225444647,47.6431659352811,"163","651892","255480",DP163,./1.png,12.5,2022/12/12
19.073473870482,47.6421943598899,"164","651956","255372",DP164,./1.png,12,2022/12/12
19.0735271229844,47.6422303260233,"165","651960","255376",DP165,./1.png,12,2022/12/12
19.0735803755593,47.6422662921317,"166","651964","255380",DP166,./1.png,12,2022/12/12
19.0736336282067,47.6423022582153,"167","651968","255384",DP167,./1.png,12,2022/12/12
19.073367382578,47.6421584051539,"168","651972","255388",DP168,./1.png,12,2022/12/12
19.0725160551815,47.6431299797726,"169","651884","255476",DP169,./1.png,12.5,2022/12/13
19.0725693079749,47.643165946336,"170","651888","255480",DP170,./1.png,12.5,2022/12/13
19.0734206349716,47.6421943713367,"171","651952","255372",DP171,./1.png,12,2022/12/13
19.0734738874378,47.6422303374946,"172","651956","255376",DP172,./1.png,12,2022/12/13
19.0735271399765,47.6422663036276,"173","651960","255380",DP173,./1.png,12,2022/12/13
19.0735803925877,47.6423022697356,"174","651964","255384",DP174,./1.png,12,2022/12/13
19.0736336452714,47.6423382358187,"175","651968","255388",DP175,./1.png,12,2022/12/14
19.0725160388778,47.6430940021783,"176","651884","255472",DP176,./1.png,12.5,2022/12/14
19.0725160714852,47.6431659573665,"177","651884","255480",DP177,./1.png,12.5,2022/12/14
19.0733673994613,47.6421943827591,"178","651948","255372",DP178,./1.png,12,2022/12/14
19.0734206518912,47.6422303489415,"179","651952","255376",DP179,./1.png,12,2022/12/14
19.0734739043937,47.642266315099,"180","651956","255380",DP180,./1.png,12,2022/12/14
19.0735271569686,47.6423022812315,"181","651960","255384",DP181,./1.png,12,2022/12/15
19.0732076593811,47.6421224616682,"182","651936","255364",DP182,./1.png,12.2,2022/12/15
19.0725693243149,47.6432019239295,"183","651888","255484",DP183,./1.png,12,2022/12/15
19.0733141639509,47.6421943941569,"184","651944","255372",DP184,./1.png,12,2022/12/15
19.0733674163446,47.6422303603638,"185","651948","255376",DP185,./1.png,12,2022/12/15
19.0734206688108,47.6422663265458,"186","651952","255380",DP186,./1.png,12,2022/12/15
19.0731544239432,47.6421224729925,"187","651932","255364",DP187,./2.png,12.2,2023/01/04
19.0732076761556,47.6421584392738,"188","651936","255368",DP188,./2.png,12.2,2023/01/04
19.0732609284405,47.6421944055302,"189","651940","255372",DP189,./2.png,12,2023/01/04
19.0732076929301,47.642194416879,"190","651936","255372",DP190,./2.png,12.2,2023/01/04
19.073367433228,47.6422663379681,"191","651948","255380",DP191,./2.png,12,2023/01/04
19.0731544406815,47.6421584505981,"192","651932","255368",DP192,./2.png,12.2,2023/01/04
19.0731544574197,47.6421944282033,"193","651932","255372",DP193,./2.png,12.2,2023/01/05
19.0729947176294,47.6421225068183,"194","651920","255364",DP194,./2.png,11.8,2023/01/05
19.0729947342588,47.6421584844239,"195","651920","255368",DP195,./2.png,11.9,2023/01/05
19.0728350113153,47.6421225404236,"196","651908","255364",DP196,./2.png,11.8,2023/01/05
19.0728349947947,47.6420865628175,"197","651908","255360",DP197,./2.png,11.8,2023/01/05
19.0721965399436,47.642914179868,"198","651860","255452",DP198,./2.png,12,2023/01/05
19.0721965238577,47.6428782022712,"199","651860","255448",DP199,./2.png,12,2023/01/06
19.0727817593929,47.6420865739703,"200","651904","255360",DP200,./2.png,11.7,2023/01/06
19.0727817758772,47.6421225515763,"201","651904","255364",DP201,./2.png,11.7,2023/01/06
19.0721965560296,47.6429501574645,"202","651860","255456",DP202,./2.png,12,2023/01/06
19.0721965077717,47.6428422246739,"203","651860","255444",DP203,./2.png,12,2023/01/06
19.0721965721157,47.6429861350605,"204","651860","255460",DP204,./2.png,12,2023/01/06
19.0721965882017,47.6430221126561,"205","651860","255464",DP205,./2.png,12,2023/01/09
19.0722498406689,47.6430580793679,"206","651864","255468",DP206,./2.png,12.5,2023/01/09
19.0724091278102,47.6421226289594,"207","651876","255364",DP207,./2.png,12,2023/01/09
19.0723559085662,47.6421586175218,"208","651872","255368",DP208,./2.png,12,2023/01/09
19.0723026892498,47.6421946060593,"209","651868","255372",DP209,./2.png,12,2023/01/09
19.0723027054079,47.6422305836642,"210","651868","255376",DP210,./2.png,12,2023/01/09
19.072302721566,47.6422665612687,"211","651868","255380",DP211,./2.png,12.3,2023/01/10
19.0722495021045,47.6423025497804,"212","651864","255384",DP212,./2.png,12.3,2023/01/10
19.0723027538823,47.6423385164763,"213","651868","255388",DP213,./2.png,12.3,2023/01/10
19.0723559895381,47.6423385055441,"214","651872","255388",DP214,./2.png,12.3,2023/01/10
19.0723027700405,47.6423744940796,"215","651868","255392",DP215,./2.png,12.1,2023/01/10
19.0722495343483,47.6423745049873,"216","651864","255392",DP216,./2.png,12.1,2023/01/10
19.0723027861987,47.6424104716823,"217","651868","255396",DP217,./2.png,12.1,2023/01/11
19.0722495504703,47.6424104825901,"218","651864","255396",DP218,./2.png,12.1,2023/01/11
19.0722495665922,47.6424464601924,"219","651864","255400",DP219,./2.png,12.1,2023/01/11
19.0723028023569,47.6424464492847,"220","651868","255400",DP220,./2.png,12.1,2023/01/11
19.0723560381215,47.6424464383524,"221","651872","255400",DP221,./2.png,12.1,2023/01/11
19.072356054316,47.6424824159544,"222","651872","255404",DP222,./2.png,12.1,2023/01/11
19.0722495827142,47.6424824377944,"223","651864","255404",DP223,./2.png,12.1,2023/01/12
19.0722495988362,47.6425184153959,"224","651864","255408",DP224,./2.png,12.1,2023/01/12
19.0723028508317,47.6425543820892,"225","651868","255412",DP225,./2.png,12.1,2023/01/12
19.0723560867051,47.642554371157,"226","651872","255412",DP226,./2.png,12.1,2023/01/12
19.0722496149583,47.642554392997,"227","651864","255412",DP227,./2.png,12,2023/01/12
19.07230286699,47.6425903596899,"228","651868","255416",DP228,./2.png,12,2023/01/12
19.0723028831483,47.6426263372901,"229","651868","255420",DP229,./2.png,12,2023/01/13
19.0722496633245,47.6426623257977,"230","651864","255424",DP230,./2.png,12,2023/01/13
19.0723028993067,47.64266231489,"231","651868","255424",DP231,./2.png,11.7,2023/01/13
19.0722496955687,47.6427342809961,"232","651864","255432",DP232,./2.png,11.7,2023/01/13
19.0722496794466,47.6426983033972,"233","651864","255428",DP233,./2.png,11.7,2023/01/13
19.0722497116909,47.6427702585947,"234","651864","255436",DP234,./2.png,11.7,2023/01/13
19.0724094037328,47.6427342481992,"235","651876","255432",DP235,./2.png,11.7,2023/01/16
19.0724626397875,47.6427342372179,"236","651880","255432",DP236,./2.png,12.3,2023/01/16
19.0725158758421,47.642734226212,"237","651884","255432",DP237,./2.png,12.3,2023/01/16
19.0725691118968,47.6427342151817,"238","651888","255432",DP238,./2.png,12.3,2023/01/16
19.0726223479514,47.6427342041269,"239","651892","255432",DP239,./2.png,12,2023/01/16
19.0723029477819,47.6427702476869,"240","651868","255436",DP240,./2.png,11.7,2023/01/16
19.0725158921456,47.6427702038106,"241","651884","255436",DP241,./2.png,12,2023/01/17
19.0726223970794,47.6428421369211,"242","651892","255444",DP242,./2.png,12,2023/01/17
19.0726223643274,47.6427701817254,"243","651892","255436",DP243,./2.png,12,2023/01/17
19.0726756004182,47.642770170646,"244","651896","255436",DP244,./2.png,12,2023/01/17
19.072728836509,47.6427701595422,"245","651900","255436",DP245,./2.png,12,2023/01/17
19.0727288529575,47.6428061371402,"246","651900","255440",DP246,./2.png,11.8,2023/01/17
19.0726756168305,47.6428061482441,"247","651896","255440",DP247,./2.png,12,2023/01/18
19.0726756332428,47.6428421258418,"248","651896","255444",DP248,./2.png,12,2023/01/18
19.0727288694061,47.6428421147379,"249","651900","255444",DP249,./2.png,11.8,2023/01/18
19.0727289845466,47.6430939579096,"250","651900","255472",DP250,./2.png,12,2023/01/18
19.0727822209638,47.6430939467812,"251","651904","255472",DP251,./2.png,11.8,2023/01/18
19.0722514207619,47.6465838816426,"252","651864","255860",DP252,./0.png,11.4,2022/11/02
19.0759780481923,47.6462592608628,"253","652144","255824",DP253,./2.png,14.5,2023/01/18
19.0743809126957,47.6463675608572,"254","652024","255836",DP254,./3.png,13.1,2023/02/16
19.0745405611102,47.646223614891,"255","652036","255820",DP255,./3.png,12.7,2023/02/17
19.0739547875458,47.6459359243857,"256","651992","255788",DP256,./3.png,12.9,2023/02/03
19.074327620363,47.6462596400525,"257","652020","255824",DP257,./3.png,13,2023/02/17
19.0744872862439,47.6461516717132,"258","652032","255812",DP258,./3.png,13,2023/02/17
19.0743807720964,47.6460797403979,"259","652024","255804",DP259,./3.png,13,2023/02/17
19.0742210363511,47.6460437983578,"260","652012","255800",DP260,./3.png,13.1,2023/02/17
19.0741678318203,47.6461157652669,"261","652008","255808",DP261,./3.png,13.1,2023/02/17
19.0741678666799,47.6461877203834,"262","652008","255816",DP262,./3.png,12.2,2023/02/20
19.0734223270418,47.6457921297174,"263","651952","255772",DP263,./3.png,11.9,2023/02/03
19.0742743107458,47.6461157416609,"264","652016","255808",DP264,./3.png,13,2023/02/20
19.0744338882458,47.645827885585,"265","652028","255776",DP265,./3.png,13.2,2023/02/03
19.0732094040484,47.6458641303872,"266","651936","255780",DP266,./3.png,11,2023/02/20
19.073315882467,47.6458641076635,"267","651944","255780",DP267,./3.png,11.9,2023/02/20
19.074593623483,47.6458638273337,"268","652040","255780",DP268,./3.png,13.4,2023/02/03
19.0731029924471,47.6460080632567,"269","651928","255796",DP269,./3.png,10.8,2023/02/20
19.0759780668552,47.6462952384194,"270","652144","255828",DP270,./2.png,14.5,2023/01/19
19.0759780855182,47.6463312159755,"271","652144","255832",DP271,./2.png,14.5,2023/01/19
19.0759249575994,47.6465470939029,"272","652140","255856",DP272,./2.png,15,2023/01/19
19.0758717362928,47.6465830840312,"273","652136","255860",DP273,./2.png,15,2023/01/19
19.0733158487684,47.645792152539,"274","651944","255772",DP274,./3.png,11.9,2023/02/06
19.0743808072461,47.6461516955153,"275","652024","255812",DP275,./3.png,13,2023/02/20
19.0759781415073,47.6464391486413,"276","652144","255844",DP276,./2.png,14.3,2023/01/19
19.0759781228442,47.6464031710865,"277","652144","255840",DP277,./2.png,14,2023/01/19
19.0733159835635,47.6460799730267,"278","651944","255804",DP278,./3.png,11,2023/02/21
19.0736354371915,47.6461158818265,"279","651968","255808",DP279,./3.png,12.2,2023/02/21
19.0733161183601,47.6463677934873,"280","651944","255836",DP280,./3.png,10.8,2023/02/21
19.0759249389725,47.6465111163494,"281","652140","255852",DP281,./2.png,14.3,2023/01/20
19.0759781041812,47.6463671935312,"282","652144","255836",DP282,./2.png,14.5,2023/01/20
19.0744338706349,47.6457919080227,"283","652028","255772",DP283,./3.png,13.1,2023/02/06
19.0734224624172,47.646079950205,"284","651952","255804",DP284,./3.png,11,2023/02/21
19.0742209140897,47.6457919554305,"285","652012","255772",DP285,./3.png,13,2023/02/06
19.0740612140376,47.6458279682914,"286","652000","255776",DP286,./3.png,12.8,2023/02/06
19.0742209315555,47.6458279329929,"287","652012","255776",DP287,./3.png,13,2023/02/06
19.0743273923623,47.6457919317756,"288","652020","255772",DP288,./3.png,13.1,2023/02/06
19.074274153226,47.6457919436154,"289","652016","255772",DP289,./3.png,13.1,2023/02/07
19.0742745732831,47.6466554049937,"290","652016","255868",DP290,./3.png,12.3,2023/02/21
19.0739548393997,47.6460438570664,"291","651992","255800",DP291,./3.png,12.5,2023/02/21
19.0734224285732,47.6460079950856,"292","651952","255796",DP292,./3.png,12.1,2023/02/22
19.0742745382778,47.6465834498882,"293","652016","255860",DP293,./3.png,12.3,2023/02/22
19.0734223947293,47.6459360399646,"294","651952","255788",DP294,./3.png,11.7,2023/02/22
19.0733159498646,47.6460080179074,"295","651944","255796",DP295,./3.png,11,2023/02/22
19.0744341171897,47.6462955938561,"296","652028","255828",DP296,./3.png,13,2023/02/22
19.0741680409793,47.6465474959409,"297","652008","255856",DP297,./3.png,12,2023/02/22
19.0758183293711,47.6462592985879,"298","652132","255824",DP298,./2.png,16,2023/01/20
19.0758183479253,47.6462952761445,"299","652132","255828",DP299,./2.png,16,2023/01/20
19.0758715689782,47.6462592860374,"300","652136","255824",DP300,./2.png,14.5,2023/01/20
19.0734223608855,47.6458640848419,"301","651952","255780",DP301,./3.png,11.7,2023/02/23
19.0733159161658,47.6459360627863,"302","651944","255788",DP302,./3.png,11.7,2023/02/23
