X,Y,STATION_ID,STATION_NE,ALIAS_1,X,Y,TEREP__MBF,PEREM__MBF,KUT_TALP__,FURAS_MELY,STN_TIPUS,STATUS,AZONOSIT,MEGJEGYZéS,PCE,TCE,DCE,VC,öSSZES_VOC,icon_url,SZŰR_szuro_ID,SZŰR_szuro_teteje,SZŰR_szuro_alja,SZŰR_szuro_anyaga,SZŰR_szuro_atm,SZŰR_szuro_lyuk_atm,SZŰR_megjegyzes
19.0720262798406,47.646728107557,"191",E111,,651847.08,255876.03,104.6900,104.6600,12.76,12.80,,,,koordináta: VIZIGbemérés,37.60,301.00,791.08,"80.5",1129.68,./0.png,200.166666666663,10.8,12.8,PVC,"63",,
19.0740546849873,47.6463648449103,"192",E112,,651999.49,255835.69,104.9900,104.8200,12.34,12.40,,,,koordináta: ENVIRON bemérés,2260.00,45.90,10.60,"0",2316.50,./0.png,200.999999999996,10.4,12.4,PVC,"63",,
19.0740585452136,47.6463655636112,"193",E112/A,,651999.78,255835.77,104.9800,104.8800,9.25,9.20,,,,koordináta: ENVIRON bemérés,2280.00,0.79,2.00,nd,2282.79,./0.png,201.833333333329,7.2,9.2,PVC,"63",,
19.0747544043331,47.6458606430222,"194",E113,,652052.08,255779.65,104.8300,104.7600,12.90,12.90,,,,koordináta: VIZIGbemérés,16.40,0.18,1.42,"0",18.00,./0.png,202.666666666662,10.9,12.9,PVC,"63",,
19.0734167786404,47.64616386909,"195",E114,,651951.57,255813.33,104.9500,104.8200,14.79,15.00,,,,koordináta: VIZIGbemérés,26.40,7.44,412.06,"0",445.90,./0.png,203.499999999995,13,15,PVC,"63",,
19.0728054091789,47.642869981371,"196",E116,,651905.75,255447.10,103.8500,104.5200,12.68,12.00,,,,koordináta: VIZIGbemérés,0.44,0.07,1.80,"0.63",2.31,./0.png,204.333333333328,10,12,PVC,"63",,
19.0716611039505,47.6431901462016,"197",E117,,651819.76,255482.67,104.6800,105.4000,16.24,15.70,,,,koordináta: VIZIGbemérés,0.08,0.24,12.90,"0",13.22,./0.png,205.166666666661,13.7,15.7,PVC,"63",,
19.0723586945282,47.6427301212123,"198",E118,,651872.19,255431.54,104.3100,105.0100,14.00,13.30,,,,koordináta: ENVIRON bemérés,0.00,0.03,21.90,"32.5",21.93,./0.png,205.999999999994,11.3,13.3,PVC,"63",,
19.0728654036224,47.6419376990719,"199",E119,,651910.29,255343.45,104.2600,104.9500,13.82,13.30,,,,koordináta: VIZIGbemérés,0.68,0.14,1.10,"0",1.92,./0.png,206.833333333327,11,13,PVC,"63",,
19.0756083374442,47.6406122147016,"200",E120,,652116.44,255196.15,104.7800,105.4700,16.38,15.70,,,,koordináta: VIZIGbemérés,0.00,0.04,9.01,"0.55",9.05,./0.png,207.66666666666,13.7,15.7,PVC,"63",,
